Program,Gene,Gene_display,Loading,Abs_loading
Program5,N900_RS01905,mlaF,-2.4703147411346436,2.4703147411346436
Program5,N900_RS15460,rppH_2,-2.4570608139038086,2.4570608139038086
Program5,N900_RS04565,sutR,-2.451939105987549,2.451939105987549
Program5,N900_RS10320,vibB,-2.44297194480896,2.44297194480896
Program5,N900_RS15440,HNH endonuclease_1,2.4375414848327637,2.4375414848327637
Program5,N900_RS01470,hydrolase,-2.419844388961792,2.419844388961792
Program5,N900_RS05025,pflA,-2.419774055480957,2.419774055480957
Program5,N900_RS13225,fis,-2.414689779281616,2.414689779281616
Program6,N900_RS14675,VC_A0139,-5.912495136260986,5.912495136260986
Program6,N900_RS12070,intA_4,-5.506330966949463,5.506330966949463
Program6,N900_RS11040,msbA,-5.337517261505127,5.337517261505127
Program6,N900_RS02970,peptidyl-prolyl cis-trans isomerase,-5.123937129974365,5.123937129974365
Program6,N900_RS14065,pctC_2,-4.932271480560303,4.932271480560303
Program6,N900_RS19875,VC_2547,-4.903613090515137,4.903613090515137
Program6,N900_RS01885,kdsC,-4.828309535980225,4.828309535980225
Program6,N900_RS17185,VC_A0729,-4.749318599700928,4.749318599700928
Program6,N900_RS13735,kfrA_1,-4.696101665496826,4.696101665496826
Program6,N900_RS17900,VC_A0880,-4.688809394836426,4.688809394836426
Program6,N900_RS10970,VC_A0103,-4.591548919677734,4.591548919677734
Program6,N900_RS11160,brxL,-4.579370975494385,4.579370975494385
Program6,N900_RS01250,frdD,-4.544534206390381,4.544534206390381
Program6,N900_RS15395,catB9,-4.495375633239746,4.495375633239746
Program6,N900_RS17695,drug/metabolite DMT transporter permease,-4.487715244293213,4.487715244293213
Program6,N900_RS11870,gsk,-4.469193935394287,4.469193935394287
Program6,N900_RS12690,cysH,-4.468363285064697,4.468363285064697
Program6,N900_RS13170,rcsC_8,-4.4634294509887695,4.4634294509887695
Program6,N900_RS17485,yjdF,-4.454526901245117,4.454526901245117
Program6,N900_RS17305,lipase,-4.450122356414795,4.450122356414795
Program6,N900_RS14210,VC_A0039,-4.449570178985596,4.449570178985596
Program6,N900_RS03240,rnhB,-4.4432196617126465,4.4432196617126465
Program6,N900_RS05695,VC_1724,-4.413970947265625,4.413970947265625
Program6,N900_RS00230,VC_0047,-4.369990825653076,4.369990825653076
Program6,N900_RS12195,irgB,-4.351164817810059,4.351164817810059
Program6,N900_RS02975,"lipoprotein, putative",-4.325311660766602,4.325311660766602
Program6,N900_RS11320,DNA mismatch repair protein,-4.296990871429443,4.296990871429443
Program6,N900_RS10325,satP,-4.2823896408081055,4.2823896408081055
Program6,N900_RS11460,yhbY,-4.274657249450684,4.274657249450684
Program6,N900_RS13800,dppA,-4.25836706161499,4.25836706161499
