Model,Gene,Gene_display,Program1,Program2,Program3,Program4,Program5,Program6,Program7,Program8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
VAE,N900_RS00495,chorismate lyase,-5.458559036254883,-1.090558648109436,-7.121969223022461,2.1288857460021973,2.011171340942383,0.0163874700665473,-2.7986879348754883,1.8484253883361816,1.5326033333333333,0.35757,5.65,1h_SI7,1h,SI7,3h_SI4,3h,SI4,5.29243
VAE,N900_RS00505,fliL_2,-3.231961965560913,-3.274423360824585,-1.7144291400909424,2.5073952674865723,1.0489753484725952,-3.667975187301636,-0.9730031490325928,-2.330604076385498,0.62630315,-1.1791,4.6909,12h_SI1,12h,SI1,6h_ce,6h,ce,5.87
VAE,N900_RS00510,methyl-accepting chemotaxis protein_4,-2.637068033218384,0.3791671097278595,-4.5202717781066895,5.463562488555908,0.2470243573188781,-3.990476131439209,-2.631199598312378,0.0386872477829456,0.5143753383333334,-0.88686,4.4865,6h_SI1,6h,SI1,3h_SI3,3h,SI3,5.37336
VAE,N900_RS00515,glpG,-4.683373928070068,-1.7882407903671265,-6.381260871887207,2.300781726837158,2.3661749362945557,1.8642948865890503,-3.57244610786438,-2.1430113315582275,1.3559726438333333,-0.029649,4.2055,3h_SI6,3h,SI6,3h_SI2,3h,SI2,4.235149
VAE,N900_RS00520,glpE,-3.1824097633361816,1.5377098321914673,-1.5088824033737185,5.261049270629883,-1.4806797504425049,-2.3811333179473877,-4.321568489074707,0.6536034941673279,0.17198755000000002,-1.8139,3.3697,6h_ce,6h,ce,3h_SI3,3h,SI3,5.1836
VAE,N900_RS00525,VC_0101,-3.622174024581909,2.9064056873321533,-3.525810956954956,4.623795032501221,-0.6545405983924866,-7.790646553039551,-0.3697218894958496,1.3788896799087524,-0.5902245206666665,-2.5925,3.1908,24h_st,24h,st,1h_SI1,1h,SI1,5.7833
VAE,N900_RS00530,tatd,-1.3564304113388062,2.361132860183716,-0.3278617262840271,-2.385275363922119,-0.5299582481384277,-4.709069728851318,-0.4132940471172333,-1.7560381889343262,-0.7705138500000001,-2.6296,2.9959,24h_st,24h,st,3h_SI5,3h,SI5,5.6255
VAE,N900_RS00540,ypeA_1,-6.775344371795654,2.4303243160247803,-4.969475746154785,4.079233169555664,-1.4860554933547974,-0.4777359664440155,1.1731886863708496,0.5360904335975647,0.1845046133333334,-1.1433,3.5878,3h_SI3,3h,SI3,1h_SI1,1h,SI1,4.7311
VAE,N900_RS00555,cc4,-4.657851696014404,-1.1347079277038574,-2.9161205291748047,3.768111944198608,0.5651155114173889,-1.2767521142959597,-2.0782084465026855,2.311457872390747,1.3794895216666665,-0.6652,6.5821,1h_SI5,1h,SI5,6h_SI4,6h,SI4,7.247299999999999
VAE,N900_RS00560,class I SAM-dependent methyltransferase_4,-5.313470840454102,0.4273428916931152,-6.4392170906066895,2.7174904346466064,3.185178518295288,2.212428331375122,0.0168909803032875,-3.0169930458068848,1.0447400999999998,-0.16738,3.3627,24h_SI9,24h,SI9,3h_SI2,3h,SI2,3.53008
VAE,N900_RS00565,yihI,-3.663452625274658,-2.473471403121948,-4.376551151275635,1.70809006690979,3.3107106685638428,-0.2821857333183288,-3.5723085403442383,-1.6901981830596924,1.6190095500000004,-0.56646,5.6083,1h_SI2,1h,SI2,1h_SI1,1h,SI1,6.17476
VAE,N900_RS00570,VC_0115,2.3832144737243652,0.4070051610469818,-4.17586088180542,0.7230179905891418,2.960434913635254,-0.7413866519927979,0.9764308333396912,-5.375007629394531,0.9985721499999999,-1.6564,6.8361,6h_SI5,6h,SI5,3h_st,3h,st,8.4925
VAE,N900_RS00575,hemN,-6.461723327636719,-5.631744384765625,-2.6049046516418457,4.058284759521484,0.8779531121253967,0.941384732723236,2.642606496810913,0.8095296025276184,2.4805226666666664,0.23374,6.1352,1h_SI1,1h,SI1,6h_ce,6h,ce,5.90146
VAE,N900_RS00580,hemy,-2.088953971862793,1.142171859741211,-0.2354218661785125,2.2710585594177246,-0.2119887620210647,-4.0733442306518555,-0.7693406343460083,3.2005932331085205,-0.1706919166666667,-1.6451,2.7528,12h_SI1,12h,SI1,3h_SI6,3h,SI6,4.3979
VAE,N900_RS00585,HemX,-1.806947946548462,0.9798478484153748,-4.918262958526611,2.72816801071167,2.1024835109710693,-0.239909142255783,4.013030529022217,-0.6846404075622559,0.8413051166666666,-1.4146,4.5733,6h_SI1,6h,SI1,1h_st,1h,st,5.9879
VAE,N900_RS00600,VC_0121,-2.414392471313477,1.31174635887146,-2.503098249435425,0.079422228038311,-0.4509413242340088,-2.314688920974731,-0.7357235550880432,-0.1910869479179382,0.11754571833333329,-2.9929,4.2155,12h_SI5,12h,SI5,1h_SI1,1h,SI1,7.208399999999999
VAE,N900_RS00605,class I adenylate cyclase,0.1141218617558479,2.3256654739379883,-3.821640968322754,1.9538878202438352,-0.0987866669893264,5.191367149353027,-0.5589599609375,-3.308701992034912,0.983545725,-0.84265,2.9777,6h_SI9,6h,SI9,12h_st,12h,st,3.82035
VAE,N900_RS00610,cyaY,-1.1037906408309937,2.595536470413208,-4.336296558380127,1.582730054855347,0.4475988149642944,4.623791694641113,-0.8918418288230896,-3.3147668838500977,-0.07653811666666667,-2.1613,2.7422,12h_ce,12h,ce,12h_SI3,12h,SI3,4.9035
