Model,Gene,Gene_display,Program1,Program2,Program3,Program4,Program5,Program6,Program7,Program8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
CPVAE,N900_RS00390,VC_0074,2.411133050918579,1.719191074371338,-2.1412720680236816,-2.756012201309204,-1.4771721363067627,0.4358886182308197,-0.6328373551368713,2.5491654872894287,-0.039616166666666675,-1.9855,3.2288,6h_SI3,6h,SI3,1h_SI1,1h,SI1,5.2143
CPVAE,N900_RS00395,eamA_2,3.3490843772888184,2.075666666030884,-0.5814054012298584,-0.3827506899833679,-0.7856495380401611,-0.3941992819309234,0.0862791314721107,-1.051973581314087,1.3076575333333333,-0.36745,4.8676,6h_SI4,6h,SI4,6h_st,6h,st,5.23505
CPVAE,N900_RS00400,uspA_1,-1.1311708688735962,1.2301921844482422,-0.4903952777385711,0.3865348100662231,-1.5167474746704102,0.2793264985084533,-0.4733903110027313,0.3913454711437225,0.6777416833333333,-1.0016,6.4547,1h_SI4,1h,SI4,6h_ce,6h,ce,7.4563
CPVAE,N900_RS00410,ftnA,1.0156105756759644,2.894204616546631,-0.4817851483821869,-1.5110934972763062,-2.277984857559204,-0.4732882678508758,0.3443144559860229,-1.3278374671936035,0.5691082033333335,-0.83519,3.5502,24h_ce,24h,ce,6h_st,6h,st,4.38539
CPVAE,N900_RS00415,uspB,4.878766059875488,1.8399717807769775,-0.3892545998096466,0.5234107375144958,-0.7049660682678223,-2.271068334579468,0.3727929890155792,0.7845987677574158,1.58307705,-0.5983,5.368,1h_SI6,1h,SI6,3h_st,3h,st,5.9663
CPVAE,N900_RS00420,rdsA_BLAST,1.197479009628296,1.6395646333694458,-1.513163685798645,-1.519481539726257,-0.2213580459356308,-0.3325442671775818,-0.4315432608127594,0.9248255491256714,0.3981370333333334,-1.4084,3.71,6h_SI1,6h,SI1,1h_SI1,1h,SI1,5.1184
CPVAE,N900_RS00425,eamA_1,3.061067819595337,3.3743486404418945,-0.5775967836380005,-0.8471689820289612,-0.4793236851692199,0.605134904384613,1.7135236263275146,0.051973033696413,1.3472523999999997,-0.015277,4.29,3h_st,3h,st,6h_SI3,6h,SI3,4.305277
CPVAE,N900_RS00430,rmuC,4.3413262367248535,1.421404480934143,-1.582729697227478,-2.238154888153076,-1.820343852043152,0.8445461988449097,-0.1297656744718551,2.275177001953125,0.5036677166666667,-1.0591,4.7668,24h_SI1,24h,SI1,3h_SI3,3h,SI3,5.8259
CPVAE,N900_RS00440,ubiJ,1.945024013519287,3.2348809242248535,-2.7904787063598633,0.1277747154235839,-1.218575119972229,-1.7218002080917358,-0.4825213253498077,1.2871111631393433,1.5304535166666662,-0.060119,4.8463,6h_SI3,6h,SI3,3h_SI5,3h,SI5,4.9064190000000005
CPVAE,N900_RS00450,tatA,0.6357076168060303,2.9219682216644287,-1.2536824941635132,-0.6008336544036865,0.044176697731018,-1.954445719718933,0.7897712588310242,0.7555578351020813,1.3249814333333334,-0.60989,7.068,1h_SI4,1h,SI4,3h_SI5,3h,SI5,7.67789
CPVAE,N900_RS00455,tatB,4.757194995880127,3.5088183879852295,-2.6571295261383057,0.4680119156837463,-1.3108327388763428,-0.5817163586616516,0.4777271449565887,1.900850534439087,1.6623136333333333,-0.048393,5.0921,24h_SI7,24h,SI7,12h_SI1,12h,SI1,5.140493
CPVAE,N900_RS00460,tatC,2.277597427368164,2.26593279838562,-2.93208646774292,0.5885517597198486,1.5907055139541626,-2.412564516067505,0.8404950499534607,1.937421202659607,1.4558110499999999,-0.33556,6.3457,1h_SI2,1h,SI2,3h_SI1,3h,SI1,6.68126
CPVAE,N900_RS00465,ccp,3.675404548645019,4.270670413970947,-1.9242160320281985,-0.5757142901420593,-1.73852801322937,0.6487883925437927,0.3723637163639068,2.036991596221924,0.8202505083333335,-0.66306,4.3113,6h_st,6h,st,12h_SI2,12h,SI2,4.97436
CPVAE,N900_RS00470,dinF,3.678162097930908,2.5226356983184814,-2.9189188480377197,0.0109361633658409,-0.8335167169570923,-2.4960153102874756,0.7149056792259216,0.4370684027671814,0.811699605,-0.80583,3.963,3h_SI7,3h,SI7,6h_st,6h,st,4.76883
CPVAE,N900_RS00475,class I SAM-dependent methyltransferase_2,2.774447202682495,0.8668327927589417,1.177500605583191,0.288707822561264,0.6066418886184692,1.867531418800354,0.6777997016906738,-0.51736980676651,1.5607054466666666,-1.2064,5.891,12h_SI4,12h,SI4,6h_SI3,6h,SI3,7.0974
CPVAE,N900_RS00480,lexA,3.2442314624786377,1.3860317468643188,0.1984896659851074,-0.4072560369968414,0.4325141608715057,0.3726909756660461,1.111230731010437,0.4850715696811676,0.63223435,-2.1795,6.2653,1h_SI4,1h,SI4,6h_SI2,6h,SI2,8.4448
CPVAE,N900_RS00485,plsB,3.017822742462158,0.5346908569335938,0.8382377028465271,0.918181538581848,-0.158595934510231,1.365259289741516,-0.0995581150054931,-0.6535204648971558,-0.34955572349999997,-2.5303,2.5991,12h_SI5,12h,SI5,12h_st,12h,st,5.1294
CPVAE,N900_RS00490,ubiA,6.737317085266113,1.6303634643554688,0.1409749984741211,-0.0475161001086235,0.4358628690242767,-0.4478771388530731,0.0828283950686454,-0.2708214223384857,1.662903361666667,-0.25003,3.8569,6h_SI9,6h,SI9,12h_st,12h,st,4.10693
CPVAE,N900_RS00495,chorismate lyase,2.0489649772644043,4.203943252563477,-3.806587457656861,-0.7231937646865845,-0.7833013534545898,-2.873059034347534,0.3473140001296997,2.2715017795562744,1.5326033333333333,0.35757,5.65,1h_SI7,1h,SI7,3h_SI4,3h,SI4,5.29243
CPVAE,N900_RS00505,fliL_2,-0.162823885679245,1.069817304611206,1.025468349456787,-0.8009251952171326,0.0966826677322387,2.1047887802124023,-0.4248873889446258,0.4021697342395782,0.62630315,-1.1791,4.6909,12h_SI1,12h,SI1,6h_ce,6h,ce,5.87
CPVAE,N900_RS00510,methyl-accepting chemotaxis protein_4,2.3451709747314453,2.6103570461273193,-0.0002307370305061,-2.0732204914093018,-2.0804498195648193,1.8893059492111208,0.0523166880011558,1.736200213432312,0.5143753383333334,-0.88686,4.4865,6h_SI1,6h,SI1,3h_SI3,3h,SI3,5.37336
CPVAE,N900_RS00515,glpG,4.8102898597717285,3.423407077789306,-1.2100694179534912,-0.1114273145794868,-0.0070206969976425,-0.7327935099601746,0.2125511169433593,2.28890061378479,1.3559726438333333,-0.029649,4.2055,3h_SI6,3h,SI6,3h_SI2,3h,SI2,4.235149
