VAE1,VAE2,VAE3,VAE4,Gene,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,VAE_reconstruction_MSE,VAE_cluster
0.07826452,-0.95249516,0.82394975,-0.08917044,N900_RS00675,rhtB,1.5416369333333333,0.079106,4.1993,1h_SI7,1h,SI7,6h_st,6h,st,4.120194,0.4096225536645236,1
0.49031246,1.1685928,0.31901354,-0.54389584,N900_RS00680,cdgJ_1,0.6302034833333334,-0.98312,3.9188,3h_co,3h,co,3h_SI1,3h,SI1,4.9019200000000005,0.3296791457437288,4
0.46183115,0.91702825,0.23475121,-0.67583066,N900_RS00685,DNA starvation/stationary phase protection protein,1.4176418333333336,-0.58104,4.0655,12h_SI2,12h,SI2,6h_SI4,6h,SI4,4.64654,0.4971739479690853,4
-0.6115946,0.022438005,-2.0679908,1.7418895,N900_RS00690,N900_RS00690,-0.4742885166666667,-2.5567,4.7887,6h_SI6,6h,SI6,1h_ce,1h,ce,7.345400000000001,0.5826718470823739,0
-1.315119,-0.33946788,-0.41797292,-0.26926887,N900_RS00695,N900_RS00695,1.51118885,-0.13062,5.802,6h_ce,6h,ce,1h_ce,1h,ce,5.93262,0.8578168974284305,7
-2.9754386,0.61951697,-0.93091094,0.5365854,N900_RS00705,Pseudogene_N900_RS00705,0.6146072500000002,-1.1903,5.5069,12h_SI4,12h,SI4,6h_st,6h,st,6.6972,0.7676267557896188,7
-0.1823446,-0.42533857,1.5202181,0.04304917,N900_RS00710,lysoplasmalogenase_1,1.4763866666666663,0.18203,4.2859,6h_ce,6h,ce,6h_st,6h,st,4.10387,0.1683599037914378,1
2.2527268,-0.0727113,-0.018381119,-0.9309204,N900_RS00715,N900_RS00715,0.6058417166666668,-0.87444,3.6763,12h_st,12h,st,3h_SI3,3h,SI3,4.55074,0.4018325987060582,2
0.32990652,-0.92170787,-0.8252443,-1.6621912,N900_RS00720,rsmD,0.5461251500000001,-1.1989,3.7187,6h_SI1,6h,SI1,12h_SI1,12h,SI1,4.9176,0.5104946475023697,5
-2.3055167,-0.5850658,0.7041073,0.8175734,N900_RS00730,ftsE,0.0080295382333333,6.3514e-05,0.14335,6h_SI7,6h,SI7,6h_st,6h,st,0.143286486,0.6003566455274233,7
-0.14158635,-0.89720595,0.8209359,1.3249698,N900_RS00735,ftsX,1.1239662949999998,-0.88995,4.8428,24h_ce,24h,ce,6h_st,6h,st,5.73275,0.2353445670376371,3
0.28037632,0.4403389,0.6263382,-1.4495999,N900_RS00745,sthA,1.1094407333333336,-0.28939,3.4948,3h_co,3h,co,3h_SI5,3h,SI5,3.78419,0.3506901320131508,4
0.24273637,1.0049363,1.1813188,-0.62800354,N900_RS00750,fabR,1.2588140316666667,-0.26161,3.877,3h_ce,3h,ce,3h_st,3h,st,4.13861,0.2302147825491761,4
-0.7343904,1.2691072,0.88755834,-0.07891057,N900_RS00755,yijd,0.9526409666666666,-0.63701,6.2139,1h_ce,1h,ce,6h_SI1,6h,SI1,6.85091,0.576130310044847,4
0.5788785,-0.9119192,0.91025543,0.20202802,N900_RS00760,trmA,1.3786812833333333,0.015237,4.1149,3h_st,3h,st,3h_SI3,3h,SI3,4.099663,0.2953517548856157,1
-0.65511775,1.1696479,0.6344167,0.20978914,N900_RS00765,btuB,0.8134078183333333,-0.39857,3.9313,24h_SI8,24h,SI8,3h_st,3h,st,4.32987,0.3980607061572248,4
0.5363749,-0.04619117,0.45379975,0.003720954,N900_RS00770,S8 family peptidase,0.9447001833333332,-0.42231,3.5087,1h_st,1h,st,3h_SI1,3h,SI1,3.93101,0.3687642755273947,2
