Gene,Gene_display,CPVAE1,CPVAE2,CPVAE3,CPVAE4,CPVAE5,CPVAE6,CPVAE7,CPVAE8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,CPVAE_cluster
N900_RS00565,yihI,2.2996838,2.6372623,0.17735875,-0.38791493,-0.08164032,0.7385658,0.00350748,2.1741872,1.6190095500000004,-0.56646,5.6083,1h_SI2,1h,SI2,1h_SI1,1h,SI1,6.17476,1
N900_RS00570,VC_0115,3.6795354,0.6015379,1.9327276,-1.1633624,-1.5797701,0.29442927,-0.9003125,0.015476435,0.9985721499999999,-1.6564,6.8361,6h_SI5,6h,SI5,3h_st,3h,st,8.4925,1
N900_RS00575,hemN,1.7491845,2.8425937,-2.0951807,1.3791807,-0.21656889,-2.3733363,0.791818,0.7169503,2.4805226666666664,0.23374,6.1352,1h_SI1,1h,SI1,6h_ce,6h,ce,5.90146,0
N900_RS00580,hemy,-1.4263731,1.3045158,-0.5738615,-1.6318209,-0.9645637,-0.55833364,0.41577217,0.6409689,-0.1706919166666667,-1.6451,2.7528,12h_SI1,12h,SI1,3h_SI6,3h,SI6,4.3979,1
N900_RS00585,HemX,1.9652166,1.570992,-1.6693712,-0.5397722,-1.4059278,-2.6346674,0.21886542,0.052043047,0.8413051166666666,-1.4146,4.5733,6h_SI1,6h,SI1,1h_st,1h,st,5.9879,0
N900_RS00600,VC_0121,-0.28058136,1.2001975,-0.86010593,-1.9072652,-0.15255176,-1.2314698,0.1766958,0.6407694,0.11754571833333329,-2.9929,4.2155,12h_SI5,12h,SI5,1h_SI1,1h,SI1,7.208399999999999,1
N900_RS00605,class I adenylate cyclase,6.1579456,1.2925774,0.46884874,0.3631683,0.37383324,-0.06684362,-0.07121037,-0.4440296,0.983545725,-0.84265,2.9777,6h_SI9,6h,SI9,12h_st,12h,st,3.82035,0
N900_RS00610,cyaY,6.173761,1.5797278,0.06273579,-0.18106389,0.29134187,-0.4810455,0.100888215,-0.23448244,-0.07653811666666667,-2.1613,2.7422,12h_ce,12h,ce,12h_SI3,12h,SI3,4.9035,0
N900_RS00615,lipoprotein,2.024935,2.4776297,1.1430869,0.9560203,0.27017242,1.4834003,1.5657005,1.5447195,0.7600619500000002,-1.3587,4.3559,1h_SI1,1h,SI1,6h_SI4,6h,SI4,5.7146,1
N900_RS00620,lysA,2.2051454,-0.31654447,1.2862605,-2.104717,-0.081583396,1.3941225,0.31880686,-0.7825499,-0.6041504833333333,-3.411,5.0984,6h_SI6,6h,SI6,1h_st,1h,st,8.5094,1
N900_RS00630,VC_0127,4.2221045,4.5571632,-3.1480174,-0.9478458,-0.7326467,-2.270995,0.77060753,1.2464262,0.6924454499999999,-0.96672,3.7161,3h_SI9,3h,SI9,3h_SI4,3h,SI4,4.6828199999999995,0
N900_RS00635,xerC,-0.9697539,1.3157482,-0.7861067,-1.8340858,0.5585588,-1.3846711,0.47598514,0.9510529,-0.7535026816666667,-2.9001,2.0488,6h_co,6h,co,1h_SI1,1h,SI1,4.9489,1
N900_RS00640,yigB,3.1692824,2.9925249,-3.1142304,-1.6048189,-1.8352671,-2.0588853,-0.31835058,2.3554816,0.86147158,-0.89298,3.8617,6h_SI2,6h,SI2,12h_SI2,12h,SI2,4.75468,0
N900_RS00645,cdpA,4.681154,2.412561,-0.572907,-0.5077004,-0.28813744,-0.9608838,-0.5274366,1.1663125,1.70551305,-0.034254,4.779,1h_SI8,1h,SI8,1h_st,1h,st,4.813254,0
N900_RS00650,VC_0131,2.45505,0.39159048,-2.7472758,-0.57139444,-1.6010141,-1.4765544,-0.6457921,1.9491042,0.754079075,-0.87026,4.0816,6h_SI1,6h,SI1,3h_SI1,3h,SI1,4.95186,0
N900_RS00655,membrane protein_2,3.0890021,3.827257,-1.1936002,-1.2225945,-1.5742697,-0.91165817,1.0636516,-0.6932724,0.7059646166666668,-0.90133,4.5236,3h_SI1,3h,SI1,6h_st,6h,st,5.42493,0
N900_RS00660,VC_0133,3.7003274,3.2959876,-3.4122376,-1.7644653,-0.6518369,-2.7774782,0.70119,1.8246028,0.7008000883333333,-0.63323,3.0587,3h_st,3h,st,3h_SI4,3h,SI4,3.69193,0
N900_RS00665,yigL,3.241067,2.010491,-1.97164,-0.29632017,0.57194686,-0.9564349,0.16094458,1.4168525,0.6587722983333334,-0.72221,4.1468,3h_SI5,3h,SI5,3h_SI1,3h,SI1,4.869009999999999,0
N900_RS00670,ytpA,3.1886022,2.5087757,0.643226,-0.8852103,-0.95575047,0.69794554,0.4243716,-0.62508917,1.2163169666666667,-0.42223,4.4342,6h_SI4,6h,SI4,12h_st,12h,st,4.85643,1
N900_RS00675,rhtB,3.4004657,2.926402,-2.9815056,-0.12409382,0.24993199,-2.1208427,0.23975137,0.3444434,1.5416369333333333,0.079106,4.1993,1h_SI7,1h,SI7,6h_st,6h,st,4.120194,0
N900_RS00680,cdgJ_1,3.7257488,3.040274,-2.0654511,-1.2991114,-0.08932892,-2.808037,0.46891847,2.844249,0.6302034833333334,-0.98312,3.9188,3h_co,3h,co,3h_SI1,3h,SI1,4.9019200000000005,0
