Gene Names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)
leuB VC_2491	GO:0000287; GO:0003862; GO:0005829; GO:0009098; GO:0051287	L-leucine biosynthetic process [GO:0009098]	cytosol [GO:0005829]	3-isopropylmalate dehydrogenase activity [GO:0003862]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]
leuA VC_2490	GO:0003852; GO:0003985; GO:0005829; GO:0009098; GO:0030145	L-leucine biosynthetic process [GO:0009098]	cytosol [GO:0005829]	2-isopropylmalate synthase activity [GO:0003852]; acetyl-CoA C-acetyltransferase activity [GO:0003985]; manganese ion binding [GO:0030145]
VC_2482	GO:0003984; GO:0005829; GO:0009097; GO:0009099; GO:1990610	isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	cytosol [GO:0005829]	acetolactate synthase activity [GO:0003984]; acetolactate synthase regulator activity [GO:1990610]
rpiA VC_2480	GO:0004751; GO:0005829; GO:0006014; GO:0009052	D-ribose metabolic process [GO:0006014]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]	cytosol [GO:0005829]	ribose-5-phosphate isomerase activity [GO:0004751]
nadB VC_2469	GO:0000166; GO:0005737; GO:0008734; GO:0034628	'de novo' NAD biosynthetic process from L-aspartate [GO:0034628]	cytoplasm [GO:0005737]	L-aspartate oxidase activity [GO:0008734]; nucleotide binding [GO:0000166]
lepA VC_2463	GO:0003746; GO:0003924; GO:0005525; GO:0005886; GO:0043022; GO:0045727; GO:0097216	positive regulation of translation [GO:0045727]	plasma membrane [GO:0005886]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanosine tetraphosphate binding [GO:0097216]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]
rnc VC_2461	GO:0003725; GO:0004525; GO:0005829; GO:0006364; GO:0006396; GO:0006397; GO:0008033; GO:0010468; GO:0019843; GO:0046872	mRNA processing [GO:0006397]; regulation of gene expression [GO:0010468]; RNA processing [GO:0006396]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	cytosol [GO:0005829]	double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; ribonuclease III activity [GO:0004525]; rRNA binding [GO:0019843]
era VC_2460	GO:0000028; GO:0003924; GO:0005525; GO:0005829; GO:0005886; GO:0019843; GO:0043024; GO:0070181	ribosomal small subunit assembly [GO:0000028]	cytosol [GO:0005829]; plasma membrane [GO:0005886]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosomal small subunit binding [GO:0043024]; rRNA binding [GO:0019843]; small ribosomal subunit rRNA binding [GO:0070181]
pdxJ VC_2458	GO:0005829; GO:0008615; GO:0033856	pyridoxine biosynthetic process [GO:0008615]	cytosol [GO:0005829]	pyridoxine 5'-phosphate synthase activity [GO:0033856]
rlmD rumA VC_2452	GO:0003723; GO:0005506; GO:0051539; GO:0070041; GO:0070475	rRNA base methylation [GO:0070475]		4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; RNA binding [GO:0003723]; rRNA (uridine-C5-)-methyltransferase activity [GO:0070041]
eno VC_2447	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009986	glycolytic process [GO:0006096]	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]	magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]
glnE VC_2438	GO:0000287; GO:0000820; GO:0005524; GO:0005829; GO:0008882; GO:0047388	regulation of glutamine family amino acid metabolic process [GO:0000820]	cytosol [GO:0005829]	[glutamate-ammonia-ligase] adenylyltransferase activity [GO:0008882]; [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase activity [GO:0047388]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]
VC_2435	GO:0005829; GO:0006753; GO:0019144; GO:0019693; GO:0046872; GO:0047631	nucleoside phosphate metabolic process [GO:0006753]; ribose phosphate metabolic process [GO:0019693]	cytosol [GO:0005829]	ADP-ribose diphosphatase activity [GO:0047631]; ADP-sugar diphosphatase activity [GO:0019144]; metal ion binding [GO:0046872]
parE VC_2431	GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0006265; GO:0007059	chromosome segregation [GO:0007059]; DNA topological change [GO:0006265]	chromosome [GO:0005694]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]
parC VC_2430	GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0005737; GO:0006265; GO:0007059; GO:0009330; GO:0019897	chromosome segregation [GO:0007059]; DNA topological change [GO:0006265]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [GO:0009330]; extrinsic component of plasma membrane [GO:0019897]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]
coaE VC_2427	GO:0004140; GO:0005524; GO:0005737; GO:0015937	coenzyme A biosynthetic process [GO:0015937]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; dephospho-CoA kinase activity [GO:0004140]
xerD VC_2419	GO:0003677; GO:0005737; GO:0006310; GO:0006313; GO:0007059; GO:0009037; GO:0048476; GO:0051301; GO:0071139	cell division [GO:0051301]; chromosome segregation [GO:0007059]; DNA recombination [GO:0006310]; DNA transposition [GO:0006313]; resolution of DNA recombination intermediates [GO:0071139]	cytoplasm [GO:0005737]; Holliday junction resolvase complex [GO:0048476]	DNA binding [GO:0003677]; tyrosine-based site-specific recombinase activity [GO:0009037]
lpd VC_2412	GO:0004148; GO:0005737; GO:0006090; GO:0006103; GO:0050660	2-oxoglutarate metabolic process [GO:0006103]; pyruvate metabolic process [GO:0006090]	cytoplasm [GO:0005737]	dihydrolipoyl dehydrogenase (NADH) activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]
