Model,Rank,Program,Time,Space,Value,Requested_rank
weighted_CPVAE,10,CPVAE2,3h,ce,-0.0755553767085075,4
weighted_CPVAE,10,CPVAE2,3h,co,-0.0656222701072692,4
weighted_CPVAE,10,CPVAE2,6h,st,0.0088489111512899,4
weighted_CPVAE,10,CPVAE2,6h,SI1,0.0077441656030714,4
weighted_CPVAE,10,CPVAE2,6h,SI2,-0.0008692823466844,4
weighted_CPVAE,10,CPVAE2,6h,SI3,-0.0337231121957302,4
weighted_CPVAE,10,CPVAE2,6h,SI4,-0.0025534706655889,4
weighted_CPVAE,10,CPVAE2,6h,SI5,-0.0031248894520103,4
weighted_CPVAE,10,CPVAE2,6h,SI6,-0.0129956100136041,4
weighted_CPVAE,10,CPVAE2,6h,SI7,-0.014688310213387,4
weighted_CPVAE,10,CPVAE2,6h,SI8,-0.0201612096279859,4
weighted_CPVAE,10,CPVAE2,6h,SI9,-0.0267875008285045,4
weighted_CPVAE,10,CPVAE2,6h,ce,-0.0445336699485778,4
weighted_CPVAE,10,CPVAE2,6h,co,-0.0386789254844188,4
weighted_CPVAE,10,CPVAE2,12h,st,-0.0010952715529128,4
weighted_CPVAE,10,CPVAE2,12h,SI1,-0.0009585319785401,4
weighted_CPVAE,10,CPVAE2,12h,SI2,0.0001075951804523,4
weighted_CPVAE,10,CPVAE2,12h,SI3,0.0041740690357983,4
weighted_CPVAE,10,CPVAE2,12h,SI4,0.0003160551132168,4
weighted_CPVAE,10,CPVAE2,12h,SI5,0.000386782339774,4
