PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Gene,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
-5.312911451936007,-0.09421553901509211,-0.8474589109993231,-0.9772846282616107,0.28422450323945325,0.6980363576161843,-1.2794843487415433,-1.0885201194047405,1.127698664402395,-1.5978840112790176,N900_RS00110,NADH dehydrogenase subunit II-related protein,-0.02647887833333334,-1.1285,2.2889,6h_SI2,6h,SI2,6h_SI3,6h,SI3,3.4173999999999998
-0.5579216752630001,-0.6605814844263133,1.7913055193962324,2.2762191528585047,1.8228690770746152,-0.0072740007969915865,0.09478700225140879,0.5152284511163938,-1.334439837148187,-1.881566764699062,N900_RS00120,N900_RS00120,0.6445359399999998,-0.96701,3.9194,3h_SI9,3h,SI9,3h_SI1,3h,SI1,4.88641
0.8849048091575042,0.9192614233651302,0.9520185212145816,1.9627263583243608,0.30663468099977126,0.3050928295423594,-1.0742779622432777,-1.2385562036989302,-0.9553143018839635,-0.22716168842294704,N900_RS00125,acuI,1.0485218166666668,-0.080152,3.9734,24h_SI8,24h,SI8,1h_ce,1h,ce,4.053552
2.8703514529101684,0.08564338193173793,-0.4460223347584077,0.143353405930716,0.122991669496236,0.17631940940732505,-0.2522532819905696,0.6107345823774761,-0.9441986619543005,0.36691388325868046,N900_RS00130,ilvA,1.6060143166666667,-0.054921,4.4043,1h_SI3,1h,SI3,12h_st,12h,st,4.459221
1.4963588546096087,0.5536555935836791,-2.1966259314263143,0.46703460012719367,-2.706274081593723,-0.30358684488948184,-0.6176122099587673,0.9232753919692633,0.36971551932833796,-0.5022271247742478,N900_RS00135,ilvD,1.2914153500000003,-0.34542,5.3665,3h_SI7,3h,SI7,12h_st,12h,st,5.71192
0.9015138626333217,0.5458007616809659,-2.7567467734561037,-1.450400389615933,-1.3448525548759003,0.6177896041768098,-0.9375316800029836,-1.912916310827948,1.1892425851155173,0.4278986140683074,N900_RS00140,ilvE,2.0222916816666663,-0.23122,6.337,1h_SI5,1h,SI5,12h_st,12h,st,6.56822
1.8507962831443505,-0.15337757416962,0.5589829429243365,-1.2614220566575116,1.8325573141674667,0.05729547260991341,1.2063161165195289,-1.9161169456099139,-0.5295000457380225,-0.9558569042348521,N900_RS00145,ilvM,1.66385,-0.11262,6.8711,1h_SI3,1h,SI3,1h_st,1h,st,6.98372
2.1557365292499577,0.022478120251866185,-0.6119182707690918,0.19663221515535012,0.5645127893171868,0.9604023474599332,-1.5644356207592243,2.0273966734958515,-0.284226889156601,0.6609191764791109,N900_RS00150,ilvG,1.4846871666666668,0.018497,5.1406,6h_SI8,6h,SI8,6h_SI2,6h,SI2,5.122103
-2.447977120284796,-1.1574276222359001,-1.614988473303021,0.19940798720725406,-1.2026821859856203,0.16858199233307858,2.1899552776434428,-1.8792125803220119,-2.006366014233423,-0.7586186045423343,N900_RS00155,yifb,0.6229813333333334,-0.86017,3.8262,3h_SI3,3h,SI3,3h_SI2,3h,SI2,4.68637
1.9724418829749633,-0.5116966923756099,-1.804191935667021,0.7086186018036975,-0.02170551387784747,1.0878007966737897,-0.10170211605423907,-1.5413729582648978,0.19597274180180313,-0.18577397879943913,N900_RS00160,yihG,1.1543101833333336,-0.43317,4.2116,6h_SI6,6h,SI6,12h_SI1,12h,SI1,4.644769999999999
-0.44842557777170144,1.5866342330990413,0.03902678215018506,3.41518036001989,1.0012639157341505,-0.4106227415974484,-0.7990419943427076,0.5367510932527634,-0.48216491931402394,-1.2977230385839398,N900_RS00165,dsba,0.12588415,-3.4222,3.7881,6h_SI8,6h,SI8,1h_SI1,1h,SI1,7.2103
1.7820906199635633,-2.191260403932112,-0.35034158530706494,1.695428077551898,-0.5439762765959735,0.5450694279951618,0.6516957336293017,0.4804526541716084,-0.5372530487060684,-1.2365256415631116,N900_RS00170,serine/threonine protein kinase,1.3087315166666664,-0.2317,3.81,1h_st,1h,st,3h_SI5,3h,SI5,4.0417
0.4013480075323588,-3.339206341390389,0.4376825415568233,-1.9665403730152846,-2.1553691004821234,-0.7212132624097618,-2.0247415294905835,1.1636787425492454,-0.4575996449402281,0.5807171267822666,N900_RS00175,ccoG,1.7052086000000002,-0.011665,5.0217,6h_SI1,6h,SI1,6h_SI4,6h,SI4,5.033365
-0.7332869798541277,1.0657952556529833,2.153256577588784,0.6616757304343053,-3.0432677705256426,1.8539864479832804,1.49973737782721,2.746506253678023,-0.47902179433574144,-0.17210712889218283,N900_RS00180,yihD,0.6527487766666666,-2.3226,4.8509,6h_SI5,6h,SI5,3h_SI4,3h,SI4,7.173500000000001
1.0542696275949144,2.150241112916045,-3.033788819802089,-2.4860426352729563,1.8343925293533612,1.414375606718569,0.43757974229357866,0.9219767196844875,-0.6195716671624044,0.546668927266349,N900_RS00185,N900_RS00185,1.9537398333333336,-1.9606,9.2447,12h_SI8,12h,SI8,6h_st,6h,st,11.2053
1.8984041547078885,-0.6875783750687188,-0.8907597430618874,-0.34874197392808126,2.499719342895349,-0.7785619770668859,1.8266874215110096,1.4413503619316514,-2.3206236063561616,0.4324809341169529,N900_RS00190,SpoOM-related protein,1.258719116666667,-0.37554,4.6742,3h_SI3,3h,SI3,6h_st,6h,st,5.04974
-0.6442183113325735,-0.1643556151591964,3.053320040883006,0.23059913053913839,-2.2853361443018283,-1.1701906025164952,-0.03518956607829882,0.8696272735779635,-0.045790353538367135,-0.5193057387985226,N900_RS00195,yqfA,1.2816228333333333,-1.3095,4.9413,12h_SI2,12h,SI2,3h_SI4,3h,SI4,6.2508
