Gene,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
N900_RS08405,tdk,0.24745970166666667,-1.4536,3.1849,6h_SI1,6h,SI1,6h_st,6h,st,4.6385
N900_RS08415,UPF0759 protein YecE_BLAST,0.8086361965000002,-0.65873,3.31,3h_st,3h,st,12h_SI2,12h,SI2,3.96873
N900_RS08420,cmoA,0.31891053333333325,-1.7111,3.0389,12h_SI7,12h,SI7,3h_SI1,3h,SI1,4.75
N900_RS08425,cmoB,0.7933500966666666,-0.32086,3.5199,24h_st,24h,st,3h_SI4,3h,SI4,3.84076
N900_RS08430,ATP-dependent Zn protease,0.0415046,-2.5977,3.986,6h_SI5,6h,SI5,6h_st,6h,st,6.5837
N900_RS08435,gonadoliberin III,-0.3288796,-1.9545,3.6517,24h_SI5,24h,SI5,1h_SI1,1h,SI1,5.606199999999999
N900_RS08440,alpha-L-glutamate ligase-like protein,-0.11738144999999997,-3.7,4.3574,6h_SI6,6h,SI6,6h_SI3,6h,SI3,8.057400000000001
N900_RS08450,N900_RS08450,0.5241945116666666,-1.4596,3.6065,6h_SI1,6h,SI1,3h_SI3,3h,SI3,5.0661000000000005
N900_RS08455,sasA_5,0.7129816333333333,-0.75991,3.6754,12h_SI6,12h,SI6,6h_ce,6h,ce,4.435309999999999
N900_RS08460,response regulator_3,1.0572139166666665,-0.23901,5.8166,12h_SI2,12h,SI2,3h_SI2,3h,SI2,6.055610000000001
N900_RS08465,N900_RS08465,-1.9702411166666667,-5.149,2.1107,12h_SI5,12h,SI5,1h_co,1h,co,7.2597000000000005
N900_RS08470,DNA transformation protein,1.2574838166666666,-1.4547,5.8525,6h_SI5,6h,SI5,12h_SI1,12h,SI1,7.3072
N900_RS08475,N900_RS08475,1.5533004333333333,0.033246,5.1738,1h_SI3,1h,SI3,6h_ce,6h,ce,5.140554
N900_RS08480,lyso,1.3188634166666668,-0.29356,3.6736,3h_SI1,3h,SI1,3h_SI6,3h,SI6,3.96716
N900_RS08485,N900_RS08485,0.5791421658333333,-0.87926,4.1673,6h_SI4,6h,SI4,3h_SI1,3h,SI1,5.04656
N900_RS08495,hexR,1.4443123333333332,-0.27678,4.4943,3h_co,3h,co,6h_SI3,6h,SI3,4.7710799999999995
N900_RS08500,iron-containing alcohol dehydrogenase_1,1.3094348000000005,-0.1859,5.4874,3h_st,3h,st,3h_SI1,3h,SI1,5.6733
N900_RS08505,grxa,-2.188486333333333,-5.3571,2.7597,12h_SI9,12h,SI9,3h_SI9,3h,SI9,8.1168
N900_RS08510,aspT,0.4992382333333333,-1.3198,3.9205,6h_SI8,6h,SI8,3h_st,3h,st,5.2403
N900_RS08515,clpA,1.6179085333333334,-1.8674,4.8621,12h_SI8,12h,SI8,6h_st,6h,st,6.7295
N900_RS08520,clpS,0.9048247966666667,-0.66578,4.461,6h_SI3,6h,SI3,3h_SI1,3h,SI1,5.12678
N900_RS08525,cspD,0.8700467099999999,-2.1267,4.163,1h_SI2,1h,SI2,3h_SI6,3h,SI6,6.2897
N900_RS08535,rluE,0.83661715,-0.80434,4.8172,1h_ce,1h,ce,6h_SI2,6h,SI2,5.6215399999999995
N900_RS08540,hisI,0.42766559503333335,-1.0594,3.761,3h_st,3h,st,3h_SI1,3h,SI1,4.8204
N900_RS08545,hisF,1.2253002,-0.47355,4.1565,3h_st,3h,st,3h_SI1,3h,SI1,4.630050000000001
N900_RS08550,hisA,0.6957334300000001,-1.0794,4.6908,1h_ce,1h,ce,6h_SI1,6h,SI1,5.7702
N900_RS08555,hisH,0.97660172,-0.49426,4.7676,12h_SI7,12h,SI7,1h_st,1h,st,5.2618599999999995
N900_RS08560,hisB,0.7740042166666666,-0.66384,3.4869,3h_co,3h,co,3h_SI5,3h,SI5,4.15074
N900_RS08565,hisC,-0.3522668833333333,-1.9267,3.5987,24h_st,24h,st,6h_st,6h,st,5.5254
N900_RS08570,hisD,0.5520636383333333,-1.1033,3.3883,6h_SI4,6h,SI4,3h_SI3,3h,SI3,4.4916
N900_RS08575,hisG,1.6174646866666664,-0.55355,5.9015,1h_SI1,1h,SI1,6h_SI1,6h,SI1,6.45505
N900_RS08580,tet(35),0.3331553333333333,-1.4398,2.7369,6h_SI3,6h,SI3,1h_st,1h,st,4.1767
N900_RS08590,gsk_1,1.0311558833333332,-3.0612,6.2748,1h_SI4,1h,SI4,1h_co,1h,co,9.336
N900_RS08610,N900_RS08610,0.5251890981666667,-0.93827,3.928,3h_SI6,3h,SI6,6h_SI2,6h,SI2,4.86627
N900_RS08615,N900_RS08615,0.46701745,-1.1203,3.847,6h_SI6,6h,SI6,12h_SI2,12h,SI2,4.9673
N900_RS08620,N900_RS08620,1.0733547216666666,-0.57299,4.8788,6h_SI4,6h,SI4,3h_SI3,3h,SI3,5.45179
N900_RS08625,class I SAM-dependent methyltransferase_1,0.9919900333333335,-0.86239,4.48,3h_SI8,3h,SI8,6h_ce,6h,ce,5.34239
N900_RS08630,N900_RS08630,1.297681215,-0.84446,5.7995,1h_SI8,1h,SI8,3h_SI2,3h,SI2,6.64396
N900_RS08635,FAD-dependent oxidoreductase_1,0.4225324414999999,-0.98426,3.3999,6h_SI8,6h,SI8,3h_SI1,3h,SI1,4.3841600000000005
N900_RS08640,SDR family NAD(P)-dependent oxidoreductase,1.4508881666666664,-0.56398,5.1177,1h_SI7,1h,SI7,3h_SI2,3h,SI2,5.68168
N900_RS08645,"transcriptional regulator, putative",1.08680825,-0.36545,5.0672,6h_SI4,6h,SI4,3h_SI4,3h,SI4,5.43265
N900_RS08650,htpX,-0.04661170000000001,-1.5751,3.5908,6h_SI3,6h,SI3,3h_SI1,3h,SI1,5.165900000000001
N900_RS08655,N900_RS08655,-0.5600426833333334,-3.7242,2.6727,3h_SI8,3h,SI8,1h_co,1h,co,6.3969000000000005
N900_RS08660,bioD,0.89199252,-1.4831,4.018,12h_SI8,12h,SI8,12h_SI1,12h,SI1,5.5011
N900_RS08665,bioC,0.23052880000000003,-1.7296,3.9964,12h_SI6,12h,SI6,3h_SI4,3h,SI4,5.726
N900_RS08670,bioF,0.5268480466666667,-2.2195,3.2526,12h_SI8,12h,SI8,3h_SI1,3h,SI1,5.4721
N900_RS08675,biob,-0.16050855,-2.4018,3.4029,12h_SI8,12h,SI8,1h_SI1,1h,SI1,5.8047
N900_RS08680,bioA,0.9218643500000001,-1.27,4.5701,12h_SI6,12h,SI6,6h_SI1,6h,SI1,5.8401
N900_RS08690,rarA,1.0070750083333333,-3.3054,6.0708,12h_SI8,12h,SI8,6h_st,6h,st,9.3762
N900_RS08700,prepilin peptidase_1,0.7370876483333332,-0.73322,4.3153,6h_st,6h,st,3h_SI4,3h,SI4,5.04852
N900_RS08705,dusC,0.24892846166666663,-0.96694,2.9386,12h_st,12h,st,3h_SI1,3h,SI1,3.9055400000000002
N900_RS08710,sensor domain-containing diguanylate cyclase_1,1.65044495,-0.12974,4.6678,1h_SI6,1h,SI6,12h_SI1,12h,SI1,4.79754
N900_RS08715,lktB_1,1.1510659383333333,-0.2782,4.7053,3h_SI2,3h,SI2,12h_SI2,12h,SI2,4.9835
N900_RS08720,ABC transporter permease_5,1.5711428166666666,-0.035407,4.5644,1h_SI6,1h,SI6,6h_ce,6h,ce,4.599807
N900_RS08725,ABC transporter substrate-binding protein_6,1.2451296333333335,-0.41939,5.1008,6h_SI2,6h,SI2,6h_ce,6h,ce,5.5201899999999995
N900_RS08730,DNA-binding protein VF530,0.23526835000000007,-1.1728,3.7665,24h_st,24h,st,1h_SI1,1h,SI1,4.9393
N900_RS08735,VC_1099_BLAST,1.4695768333333334,-0.11238,4.8665,1h_SI8,1h,SI8,6h_SI2,6h,SI2,4.97888
N900_RS08740,ackA_1,-0.7045559833333335,-3.0813,3.8427,6h_SI6,6h,SI6,1h_co,1h,co,6.9239999999999995
N900_RS08745,pta,0.24079031666666667,-1.8472,2.6947,6h_SI9,6h,SI9,3h_SI8,3h,SI8,4.5419
N900_RS08750,yqjG,0.5168482116666666,-0.75341,2.8985,3h_SI4,3h,SI4,6h_SI2,6h,SI2,3.65191
N900_RS08755,oppF_BLAST,1.2299719333333337,-0.32968,4.0274,6h_SI7,6h,SI7,12h_SI1,12h,SI1,4.35708
N900_RS08760,oppD_1,0.2910643383333334,-2.0246,5.3231,24h_SI9,24h,SI9,3h_st,3h,st,7.3477
N900_RS08765,oppC,0.5122310366666667,-1.4689,4.2893,3h_SI9,3h,SI9,6h_ce,6h,ce,5.7582
N900_RS08770,oppB,1.3456791666666668,-0.29756,4.8719,3h_ce,3h,ce,6h_st,6h,st,5.16946
N900_RS08775,oppA,2.95284145,-0.10759,7.5892,1h_SI6,1h,SI6,12h_st,12h,st,7.69679
N900_RS08780,ptxB,0.66256585,-0.63502,4.0334,6h_ce,6h,ce,6h_st,6h,st,4.66842
N900_RS08785,rcsC_5,0.6281418616666664,-0.85655,4.3508,6h_ce,6h,ce,12h_SI1,12h,SI1,5.20735
N900_RS08790,rcsC_6,1.4449898666666667,0.074042,5.074,6h_co,6h,co,3h_SI4,3h,SI4,4.9999579999999995
N900_RS08795,rssB_2,-0.047727433333333354,-1.3163,4.3454,24h_st,24h,st,1h_ce,1h,ce,5.6617
N900_RS08800,sasA_6,0.5828041483333333,-1.0086,3.84,3h_SI5,3h,SI5,3h_SI4,3h,SI4,4.848599999999999
N900_RS08805,sasA_7,1.4949027333333333,-0.2666,6.6033,1h_SI9,1h,SI9,3h_SI3,3h,SI3,6.8699
N900_RS08810,CheC,0.45725183916666673,-1.4652,4.5253,6h_SI3,6h,SI3,6h_ce,6h,ce,5.9905
N900_RS08815,cheY_4,1.28340545,-0.46735,5.1319,1h_SI4,1h,SI4,1h_ce,1h,ce,5.59925
N900_RS08820,response regulator,1.4910591166666667,-0.13847,4.7419,1h_SI6,1h,SI6,3h_SI4,3h,SI4,4.88037
N900_RS08825,sensor histidine kinase_3,1.2548462616666667,-0.54419,7.1778,1h_SI2,1h,SI2,3h_SI1,3h,SI1,7.72199
N900_RS08830,ywlC,-0.23810058333333334,-1.4664,3.9415,24h_co,24h,co,3h_SI4,3h,SI4,5.4079
N900_RS08840,N900_RS08840,0.5207524566666668,-1.1767,4.0777,6h_SI3,6h,SI3,1h_ce,1h,ce,5.2544
N900_RS08845,araC_1,1.0818495788333335,-0.52706,4.3304,3h_st,3h,st,3h_SI1,3h,SI1,4.85746
N900_RS08850,YbhB/YbcL family Raf kinase inhibitor-like protein,0.4314512166666667,-1.1824,4.1588,3h_SI7,3h,SI7,1h_st,1h,st,5.341200000000001
N900_RS08855,CPBP family intramembrane metalloprotease,0.846539735,-0.70561,3.7285,6h_SI1,6h,SI1,1h_st,1h,st,4.4341099999999996
N900_RS08860,chitinase_1,0.8096727650000002,-0.78026,4.6694,6h_st,6h,st,6h_ce,6h,ce,5.449660000000001
N900_RS08865,arsJ,0.6608099164999999,-0.65336,3.0948,12h_st,12h,st,6h_st,6h,st,3.7481600000000004
N900_RS08870,phosphatase,1.4516373000000005,-0.38347,5.7003,1h_SI8,1h,SI8,3h_st,3h,st,6.08377
N900_RS08875,gap3,1.1607522616666661,-0.054313,3.5114,3h_st,3h,st,1h_st,1h,st,3.565713
N900_RS08880,arsR1,0.29857039999999996,-1.0162,3.9122,3h_SI4,3h,SI4,1h_SI1,1h,SI1,4.9284
N900_RS08885,N900_RS08885,0.7759775166666666,-0.76891,4.2883,6h_SI4,6h,SI4,12h_SI1,12h,SI1,5.0572099999999995
N900_RS08890,N900_RS08890,0.42982405833333337,-1.2194,3.4851,1h_SI5,1h,SI5,3h_st,3h,st,4.7045
N900_RS08895,A79_1377_BLAST,1.25720785,-0.35034,4.8847,6h_SI4,6h,SI4,3h_SI3,3h,SI3,5.23504
N900_RS08900,lipoprotein-related protein,0.16803560999999997,-1.522,2.7288,6h_SI1,6h,SI1,3h_SI3,3h,SI3,4.2508
N900_RS08905,tesB,0.871353565,-0.44181,3.7339,3h_co,3h,co,3h_SI3,3h,SI3,4.1757100000000005
N900_RS08910,decR,0.8326714250000001,-0.56016,3.9665,1h_co,1h,co,12h_st,12h,st,4.52666
N900_RS08915,sbnA,0.6374782833333332,-1.1821,3.7851,12h_SI8,12h,SI8,3h_SI2,3h,SI2,4.9672
N900_RS08920,sohB,1.35045755,-0.28364,4.8988,1h_st,1h,st,6h_SI2,6h,SI2,5.18244
N900_RS08925,ycik,0.7956472499999999,-0.69664,4.4472,6h_SI1,6h,SI1,12h_SI1,12h,SI1,5.14384
N900_RS08935,ykgj,0.10174170000000003,-1.4447,4.9711,6h_SI2,6h,SI2,3h_st,3h,st,6.4158
N900_RS08940,recR,0.8771481383333336,-1.1928,4.18,6h_co,6h,co,3h_st,3h,st,5.3728
N900_RS08945,ybab,1.1653916,-0.31074,5.2253,3h_co,3h,co,3h_SI2,3h,SI2,5.53604
N900_RS08955,apt,0.73947355,-0.41297,4.6686,3h_SI3,3h,SI3,12h_st,12h,st,5.081569999999999
N900_RS08960,ybaN,1.7940748166666667,-0.60866,5.8689,1h_SI7,1h,SI7,3h_SI2,3h,SI2,6.47756
N900_RS08970,response regulator_2,1.5642444166666667,-0.41724,4.9494,1h_SI5,1h,SI5,3h_SI2,3h,SI2,5.366639999999999
N900_RS08975,LysR family transcriptional regulator_4,0.012193816666666642,-3.8853,5.0748,6h_SI8,6h,SI8,1h_st,1h,st,8.9601
N900_RS08980,ydjA,1.1543330666666667,-0.50706,4.5639,6h_SI4,6h,SI4,12h_SI1,12h,SI1,5.07096
N900_RS08985,fadJ,0.7636433116666667,-0.67914,3.6194,24h_SI7,24h,SI7,3h_st,3h,st,4.29854
N900_RS08990,fadI,1.1746548833333335,-0.34112,4.055,1h_SI4,1h,SI4,6h_SI2,6h,SI2,4.39612
N900_RS08995,Pseudogene_N900_RS08995,0.2619878233333333,-1.9625,4.6057,3h_SI7,3h,SI7,6h_SI1,6h,SI1,6.568199999999999
N900_RS09000,RNA polymerase sigma factor,0.2922076666666667,-1.3094,3.0257,6h_SI7,6h,SI7,1h_st,1h,st,4.3351
N900_RS09005,N900_RS09005,1.1906282166666668,-0.76654,4.7378,12h_SI4,12h,SI4,3h_SI5,3h,SI5,5.50434
N900_RS09010,fadL,0.8474407583333334,-0.88769,2.9122,12h_co,12h,co,12h_SI3,12h,SI3,3.79989
N900_RS09015,aromatic hydrocarbon degradation protein,1.217763183333333,-0.16396,5.5034,1h_SI9,1h,SI9,6h_st,6h,st,5.66736
N900_RS09020,low molecular weight phosphotyrosine protein phosphatase_2,1.0771236283333334,-0.82125,4.5852,6h_SI1,6h,SI1,1h_ce,1h,ce,5.40645
N900_RS09025,cobO,0.8866571166666667,-0.62091,3.7663,3h_st,3h,st,6h_st,6h,st,4.3872100000000005
N900_RS09030,asma_1,0.21952596666666668,-1.3077,4.4124,12h_SI1,12h,SI1,6h_st,6h,st,5.7201
N900_RS09035,udk,-0.137756565,-1.9188,3.0021,1h_SI6,1h,SI6,6h_st,6h,st,4.9209
N900_RS09040,N900_RS09040,-0.004128316666666676,-1.428,4.5552,6h_SI9,6h,SI9,12h_SI1,12h,SI1,5.9832
N900_RS09045,apbC,0.8032064833333333,-0.52816,4.7821,6h_ce,6h,ce,3h_st,3h,st,5.3102599999999995
N900_RS09055,N900_RS09055,0.6217690166666666,-0.63272,3.2282,6h_co,6h,co,6h_SI2,6h,SI2,3.86092
N900_RS09060,udp_1,1.1635346733333334,-1.1134,4.9521,1h_SI7,1h,SI7,12h_SI3,12h,SI3,6.0655
N900_RS09065,zntA,4.28393,1.3231,6.9478,24h_co,24h,co,3h_SI1,3h,SI1,5.6247
N900_RS09070,N900_RS09070,0.04431866666666666,-1.5316,2.9836,6h_SI1,6h,SI1,6h_ce,6h,ce,4.5152
N900_RS09075,inosine monophosphate dehydrogenase-related protein,1.2868885666666663,-0.28471,6.1714,3h_SI1,3h,SI1,3h_st,3h,st,6.456110000000001
N900_RS09080,N900_RS09080,0.1564438301666667,-1.6176,4.073,6h_SI2,6h,SI2,3h_SI2,3h,SI2,5.6906
N900_RS09085,moaE,0.46292403333333326,-1.2041,4.2027,6h_SI4,6h,SI4,6h_SI2,6h,SI2,5.4068000000000005
N900_RS09090,moaD,0.05229599999999999,-1.4129,2.6728,1h_SI3,1h,SI3,12h_SI1,12h,SI1,4.0857
N900_RS09095,moaC,1.8227353833333337,-1.3039,6.0757,1h_SI5,1h,SI5,24h_st,24h,st,7.3796
N900_RS09100,moaB,0.8524573751666666,-0.92419,3.5174,1h_SI2,1h,SI2,3h_SI1,3h,SI1,4.44159
N900_RS09105,moaA,1.4470726866666666,-0.07555,6.465,1h_SI4,1h,SI4,6h_st,6h,st,6.54055
N900_RS09110,ybhK,1.0236163666666667,-0.76015,5.5315,12h_SI1,12h,SI1,3h_SI2,3h,SI2,6.291650000000001
N900_RS09115,luxu,-0.18171271333333333,-3.8606,5.0892,12h_SI8,12h,SI8,6h_SI2,6h,SI2,8.9498
N900_RS09120,luxO_BLAST,-1.3439629666666666,-4.6955,0.11287,12h_SI8,12h,SI8,3h_SI9,3h,SI9,4.80837
N900_RS09125,N900_RS09125,-0.3868947466666666,-3.0679,2.634,3h_SI9,3h,SI9,3h_SI3,3h,SI3,5.7019
N900_RS09130,uvrB,0.5743209,-1.2042,3.4819,3h_co,3h,co,3h_st,3h,st,4.6861
N900_RS09170,nth,0.27437863333333323,-1.2229,4.2198,6h_SI1,6h,SI1,3h_SI1,3h,SI1,5.4427
N900_RS09175,gloA,-0.10882193333333334,-1.6775,3.5179,12h_SI1,12h,SI1,6h_SI3,6h,SI3,5.1954
N900_RS09180,VP2110_BLAST,-0.04069886666666666,-1.365,3.3617,3h_SI2,3h,SI2,1h_ce,1h,ce,4.7267
N900_RS09185,motY,-0.6503969499999999,-2.4553,2.6154,24h_SI1,24h,SI1,3h_SI7,3h,SI7,5.0707
N900_RS09195,ribonuclease T,0.5439541,-2.0486,5.2082,1h_SI2,1h,SI2,3h_SI1,3h,SI1,7.2568
N900_RS09200,yuiF,2.063312333333333,0.60393,5.3073,6h_co,6h,co,6h_SI4,6h,SI4,4.70337
N900_RS09205,purF,-2.03226245,-5.1351,2.6569,12h_SI6,12h,SI6,1h_st,1h,st,7.792
N900_RS09210,cvpA,-2.3630791666666666,-5.6924,2.1232,12h_SI6,12h,SI6,3h_st,3h,st,7.8156
N900_RS09215,dedD,-0.24032725,-2.9229,4.6611,3h_SI9,3h,SI9,3h_SI2,3h,SI2,7.584
N900_RS09230,truA,1.0683384833333336,-0.54901,4.9614,6h_SI6,6h,SI6,6h_st,6h,st,5.51041
N900_RS09235,Pseudogene_N900_RS09235,1.5587530166666668,-1.072,5.6288,6h_SI7,6h,SI7,12h_SI1,12h,SI1,6.7008
N900_RS09245,nagE,0.9901876266666666,-0.44432,4.3375,12h_st,12h,st,6h_SI1,6h,SI1,4.781820000000001
N900_RS09250,nagA_1,0.3435591,-1.212,3.4747,1h_SI1,1h,SI1,6h_SI4,6h,SI4,4.6867
N900_RS09255,nagC,1.25382715,-0.71136,5.7062,1h_SI5,1h,SI5,3h_SI4,3h,SI4,6.41756
N900_RS09260,ybaL,1.2450766500000001,-0.28419,5.2044,6h_SI4,6h,SI4,3h_SI1,3h,SI1,5.488589999999999
N900_RS09265,asnB,0.6980691485166667,-0.7822,3.1926,3h_SI3,3h,SI3,12h_st,12h,st,3.9748
N900_RS09270,rfaH,-0.7288724383333334,-4.1108,2.231,3h_SI9,3h,SI9,6h_SI4,6h,SI4,6.3418
N900_RS09275,dtpA,0.3915716333333334,-1.3379,3.0471,6h_SI2,6h,SI2,1h_st,1h,st,4.385
N900_RS09290,htpG,1.522672166666667,-0.047813,5.2158,6h_SI7,6h,SI7,6h_st,6h,st,5.263612999999999
N900_RS09295,toxR_BLAST,-1.2760801616666668,-3.7391,2.7871,12h_SI7,12h,SI7,3h_SI4,3h,SI4,6.5262
N900_RS09300,toxS,-1.2785576833333334,-4.4588,2.8561,12h_SI8,12h,SI8,3h_SI5,3h,SI5,7.3149
N900_RS09305,selenoprotein W-related protein,1.12137295,-0.48067,4.2561,3h_SI2,3h,SI2,6h_SI2,6h,SI2,4.73677
N900_RS09310,phosphodiesterase,1.0588239531666668,-0.51408,3.5248,6h_st,6h,st,12h_st,12h,st,4.03888
N900_RS09315,yfcH,0.796196615,-0.64839,4.5972,3h_ce,3h,ce,1h_ce,1h,ce,5.24559
N900_RS09320,ybbO,1.4145935333333335,-0.21163,4.0732,1h_SI8,1h,SI8,6h_SI4,6h,SI4,4.28483
N900_RS09325,YbbN,0.17200786666666668,-2.3619,2.1761,12h_SI8,12h,SI8,1h_ce,1h,ce,4.538
N900_RS09330,qmcA,0.617607355,-0.69117,3.6309,6h_SI3,6h,SI3,6h_SI1,6h,SI1,4.32207
N900_RS09335,ybbJ,0.13872095,-2.6107,3.365,6h_SI5,6h,SI5,6h_SI4,6h,SI4,5.9757
N900_RS09340,cueR,-0.9154054500000001,-2.4373,2.6155,3h_SI6,3h,SI6,12h_SI3,12h,SI3,5.0527999999999995
N900_RS09345,N900_RS09345,0.17682144999999996,-1.1808,3.3853,24h_st,24h,st,1h_SI1,1h,SI1,4.5661000000000005
N900_RS09350,chiP,0.8542988833333333,-1.0059,4.6052,12h_SI1,12h,SI1,3h_SI1,3h,SI1,5.6111
N900_RS09365,cysZ,0.807691875,-0.47829,4.5662,6h_SI8,6h,SI8,3h_st,3h,st,5.044490000000001
N900_RS09370,cysK,1.571828383333333,-0.26076,5.7621,1h_SI6,1h,SI6,3h_SI4,3h,SI4,6.0228600000000005
N900_RS09375,N900_RS09375,0.4836263499999999,-2.184,4.0573,1h_SI2,1h,SI2,3h_SI4,3h,SI4,6.2413
N900_RS09380,ptsH,0.5671032,-1.2857,3.9768,6h_ce,6h,ce,12h_SI2,12h,SI2,5.2625
N900_RS09385,ptsI,0.24533666666666665,-1.7399,4.4994,1h_SI4,1h,SI4,6h_ce,6h,ce,6.2393
N900_RS09390,crr,0.4001859166666667,-2.5399,7.5507,1h_SI6,1h,SI6,6h_SI2,6h,SI2,10.0906
N900_RS09400,miaB,0.8828023166666665,-0.60496,4.8641,6h_SI4,6h,SI4,3h_st,3h,st,5.46906
N900_RS09405,ybeZ,-0.2893976666666667,-2.9766,4.9254,1h_SI5,1h,SI5,3h_SI8,3h,SI8,7.901999999999999
N900_RS09410,ybeY,1.8224785333333335,-0.061048,4.1454,6h_SI9,6h,SI9,1h_st,1h,st,4.206448000000001
N900_RS09415,corc,0.22945046666666663,-3.4408,4.4363,12h_SI7,12h,SI7,3h_SI1,3h,SI1,7.8771
N900_RS09420,lnt,0.6562306666666665,-1.2185,2.8033,12h_SI7,12h,SI7,12h_st,12h,st,4.0218
N900_RS09425,zinc ribbon-containing protein,-0.33234371666666657,-2.0581,2.5462,12h_SI4,12h,SI4,3h_SI5,3h,SI5,4.6043
N900_RS09445,rsfS,0.7061118816666665,-0.9473,6.2056,1h_SI7,1h,SI7,3h_SI3,3h,SI3,7.1529
N900_RS09450,rlmH,1.1452897250000003,-0.34231,4.5065,12h_SI8,12h,SI8,3h_SI4,3h,SI4,4.84881
N900_RS09465,rlpa,-0.9739270666666666,-4.0064,4.2509,12h_SI8,12h,SI8,6h_SI3,6h,SI3,8.2573
N900_RS09470,dacA_1,-1.9758055,-4.2491,0.42674,12h_SI7,12h,SI7,3h_SI5,3h,SI5,4.67584
N900_RS09500,glyA,-0.81926715,-2.8917,4.2451,12h_ce,12h,ce,3h_SI8,3h,SI8,7.1368
N900_RS09505,yitt,0.5896746166666667,-1.555,5.8246,6h_co,6h,co,3h_SI1,3h,SI1,7.3796
N900_RS09510,vpsQ,2.0536241166666667,0.054217,6.1916,1h_SI8,1h,SI8,3h_SI3,3h,SI3,6.137383
N900_RS09515,vpsP,0.4806321666666667,-0.8371,3.4899,3h_SI8,3h,SI8,6h_SI3,6h,SI3,4.327
N900_RS09520,vpsO,1.0523468666666667,-0.83125,4.4351,6h_SI7,6h,SI7,3h_st,3h,st,5.26635
N900_RS09525,vpsN,0.753820375,-0.83838,5.4475,12h_SI2,12h,SI2,6h_st,6h,st,6.28588
N900_RS09530,vpsM,0.61811593,-0.50002,4.128,3h_st,3h,st,6h_SI3,6h,SI3,4.62802
N900_RS09535,vpsL,0.8755159166666667,-0.67382,4.1038,3h_co,3h,co,3h_SI4,3h,SI4,4.77762
N900_RS09540,N900_RS09540,0.44002341666666667,-0.75523,4.1657,24h_ce,24h,ce,6h_ce,6h,ce,4.92093
N900_RS09545,N900_RS09545,-0.49554998333333333,-2.8916,4.6892,6h_SI5,6h,SI5,1h_st,1h,st,7.5808
N900_RS09550,hemolysin_1,0.4984524699999999,-0.85796,2.4637,3h_st,3h,st,3h_SI3,3h,SI3,3.3216599999999996
N900_RS09555,N900_RS09555,0.9551864175499998,-0.46094,4.4575,24h_SI2,24h,SI2,6h_SI3,6h,SI3,4.9184399999999995
N900_RS09560,N900_RS09560,0.10116264999999997,-1.4121,2.7998,6h_SI7,6h,SI7,1h_co,1h,co,4.2119
N900_RS09565,glycosyltransferase,0.73439475,-0.72149,4.1181,3h_SI2,3h,SI2,6h_SI3,6h,SI3,4.83959
N900_RS09570,vpsJ,1.3260645899999999,-0.4824,5.9209,1h_ce,1h,ce,3h_st,3h,st,6.4033
N900_RS09575,glycosyltransferase family 1 protein,1.4685779833333334,-0.25353,5.3436,12h_SI1,12h,SI1,6h_st,6h,st,5.59713
N900_RS09580,vpsH,1.3230130333333332,-0.48033,5.5732,6h_SI5,6h,SI5,3h_SI1,3h,SI1,6.05353
N900_RS09585,vpsG,0.87275198,-0.76066,3.7253,24h_co,24h,co,3h_st,3h,st,4.4859599999999995
N900_RS09590,vpsF,0.3738667166666667,-0.90026,3.4854,12h_SI3,12h,SI3,6h_st,6h,st,4.38566
N900_RS09595,vpsE,1.3014730333333333,-0.014657,4.6924,1h_SI6,1h,SI6,1h_st,1h,st,4.707057
N900_RS09600,vpsD,0.5765796950000001,-0.82075,3.7296,3h_co,3h,co,3h_SI4,3h,SI4,4.55035
N900_RS09605,vpsC,-0.06380356666666667,-1.9378,3.5258,6h_ce,6h,ce,12h_st,12h,st,5.4636
N900_RS09610,wecC,0.7462644549999998,-0.59348,4.1402,3h_SI4,3h,SI4,1h_st,1h,st,4.73368
N900_RS09615,vpsA,0.23403115833333332,-1.2404,3.1778,1h_st,1h,st,6h_SI1,6h,SI1,4.4182
N900_RS09620,low molecular weight phosphotyrosine protein phosphatase_1,-0.25759546666666666,-1.7217,3.3038,6h_SI4,6h,SI4,12h_SI2,12h,SI2,5.0255
N900_RS09625,vexH,0.9679584833333333,-0.39739,4.3069,6h_st,6h,st,3h_SI2,3h,SI2,4.704289999999999
N900_RS09630,vexG,1.048455385,-0.50316,5.0539,6h_SI4,6h,SI4,12h_st,12h,st,5.55706
N900_RS09650,treC,-0.3267625666666667,-2.5639,4.896,12h_SI5,12h,SI5,3h_SI2,3h,SI2,7.459899999999999
N900_RS09655,treB,0.17075635999999997,-1.3385,3.1479,1h_SI1,1h,SI1,12h_SI1,12h,SI1,4.4864
N900_RS09660,treR,1.0499563283333333,-0.341,4.379,1h_SI4,1h,SI4,3h_SI1,3h,SI1,4.72
N900_RS09665,gmhB,0.44115017366666665,-1.5378,2.5642,12h_SI7,12h,SI7,12h_st,12h,st,4.102
N900_RS09670,metN,0.8956259949999997,-0.8644,4.2205,6h_co,6h,co,6h_SI4,6h,SI4,5.0849
N900_RS09675,metI,0.66312978,-0.70339,4.0732,6h_SI8,6h,SI8,3h_st,3h,st,4.77659
N900_RS09680,metq,1.3567389333333333,-0.027598,3.7875,1h_st,1h,st,6h_SI2,6h,SI2,3.815098
