Model,Rank,Program,Time,Space,Value
weighted_CPVAE,10,CPVAE2,1h,SI7,-0.042386267334222794
weighted_CPVAE,10,CPVAE2,1h,SI8,-0.05817949026823044
weighted_CPVAE,10,CPVAE2,1h,SI9,-0.07730107009410858
weighted_CPVAE,10,CPVAE2,1h,ce,-0.128511443734169
weighted_CPVAE,10,CPVAE2,1h,co,-0.11161632835865021
weighted_CPVAE,10,CPVAE2,3h,st,0.015012973919510841
weighted_CPVAE,10,CPVAE2,3h,SI1,0.013138673268258572
weighted_CPVAE,10,CPVAE2,3h,SI2,-0.0014748156536370516
weighted_CPVAE,10,CPVAE2,3h,SI3,-0.057214293628931046
weighted_CPVAE,10,CPVAE2,3h,SI4,-0.004332192242145538
weighted_CPVAE,10,CPVAE2,3h,SI5,-0.005301655735820532
weighted_CPVAE,10,CPVAE2,3h,SI6,-0.02204822190105915
weighted_CPVAE,10,CPVAE2,3h,SI7,-0.024920038878917694
weighted_CPVAE,10,CPVAE2,3h,SI8,-0.03420530632138252
weighted_CPVAE,10,CPVAE2,3h,SI9,-0.04544740170240402
weighted_CPVAE,10,CPVAE2,3h,ce,-0.07555537670850754
weighted_CPVAE,10,CPVAE2,3h,co,-0.06562227010726929
weighted_CPVAE,10,CPVAE2,6h,st,0.00884891115128994
weighted_CPVAE,10,CPVAE2,6h,SI1,0.007744165603071451
weighted_CPVAE,10,CPVAE2,6h,SI2,-0.0008692823466844857
weighted_CPVAE,10,CPVAE2,6h,SI3,-0.03372311219573021
weighted_CPVAE,10,CPVAE2,6h,SI4,-0.002553470665588975
weighted_CPVAE,10,CPVAE2,6h,SI5,-0.003124889452010393
weighted_CPVAE,10,CPVAE2,6h,SI6,-0.012995610013604164
weighted_CPVAE,10,CPVAE2,6h,SI7,-0.014688310213387012
weighted_CPVAE,10,CPVAE2,6h,SI8,-0.020161209627985954
weighted_CPVAE,10,CPVAE2,6h,SI9,-0.026787500828504562
weighted_CPVAE,10,CPVAE2,6h,ce,-0.04453366994857788
weighted_CPVAE,10,CPVAE2,6h,co,-0.03867892548441887
weighted_CPVAE,10,CPVAE2,12h,st,-0.001095271552912891
weighted_CPVAE,10,CPVAE2,12h,SI1,-0.0009585319785401225
weighted_CPVAE,10,CPVAE2,12h,SI2,0.00010759518045233563
weighted_CPVAE,10,CPVAE2,12h,SI3,0.004174069035798311
weighted_CPVAE,10,CPVAE2,12h,SI4,0.0003160551132168621
weighted_CPVAE,10,CPVAE2,12h,SI5,0.00038678233977407217
weighted_CPVAE,10,CPVAE2,12h,SI6,0.0016085280803963542
weighted_CPVAE,10,CPVAE2,12h,SI7,0.0018180416664108634
weighted_CPVAE,10,CPVAE2,12h,SI8,0.002495448337867856
weighted_CPVAE,10,CPVAE2,12h,SI9,0.0033156154677271843
weighted_CPVAE,10,CPVAE2,12h,ce,0.005512142553925514
weighted_CPVAE,10,CPVAE2,12h,co,0.004787473473697901
weighted_CPVAE,10,CPVAE2,24h,st,-0.005551373586058617
weighted_CPVAE,10,CPVAE2,24h,SI1,-0.004858309868723154
weighted_CPVAE,10,CPVAE2,24h,SI2,0.0005453451303765178
weighted_CPVAE,10,CPVAE2,24h,SI3,0.021156229078769684
weighted_CPVAE,10,CPVAE2,24h,SI4,0.0016019223257899284
weighted_CPVAE,10,CPVAE2,24h,SI5,0.001960402587428689
weighted_CPVAE,10,CPVAE2,24h,SI6,0.008152808994054794
weighted_CPVAE,10,CPVAE2,24h,SI7,0.009214726276695728
weighted_CPVAE,10,CPVAE2,24h,SI8,0.012648154981434345
weighted_CPVAE,10,CPVAE2,24h,SI9,0.016805164515972137
weighted_CPVAE,10,CPVAE2,24h,ce,0.0279382411390543
weighted_CPVAE,10,CPVAE2,24h,co,0.024265261366963387
PCA,10,PC3,1h,st,0.10393472400927764
PCA,10,PC3,1h,SI1,0.9802185860076883
PCA,10,PC3,1h,SI2,-0.010869472967150726
PCA,10,PC3,1h,SI3,-0.4553589116214393
PCA,10,PC3,1h,SI4,-0.49701202895708346
PCA,10,PC3,1h,SI5,-0.5375034151674929
PCA,10,PC3,1h,SI6,-0.5905755340706572
PCA,10,PC3,1h,SI7,-0.5352345012837427
PCA,10,PC3,1h,SI8,-0.5182928790034456
