Gene,PC,PC_score,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,Abs_PC_score,Direction
N900_RS05085,PC3,-3.3212968687779885,prepilin peptidase_2,0.26324856166666666,-0.83559,3.9948,3h_SI3,3h,SI3,12h_SI2,12h,SI2,4.83039,3.3212968687779885,Negative
N900_RS07960,PC3,-3.2679919220996836,setA,1.0041554,-0.9206,4.313,24h_st,24h,st,6h_st,6h,st,5.2336,3.2679919220996836,Negative
N900_RS08715,PC3,-3.2413459828525757,lktB_1,1.1510659383333333,-0.2782,4.7053,3h_SI2,3h,SI2,12h_SI2,12h,SI2,4.9835,3.2413459828525757,Negative
N900_RS02360,PC3,-3.240685140575611,cpdA,0.29294455166666666,-3.196,4.8381,12h_SI8,12h,SI8,1h_st,1h,st,8.0341,3.240685140575611,Negative
N900_RS09560,PC3,-3.231126839720268,N900_RS09560,0.10116264999999997,-1.4121,2.7998,6h_SI7,6h,SI7,1h_co,1h,co,4.2119,3.231126839720268,Negative
N900_RS04095,PC3,-3.225629975434739,cheZ,0.4809716,-1.0067,3.6048,6h_st,6h,st,6h_SI3,6h,SI3,4.6114999999999995,3.225629975434739,Negative
N900_RS09025,PC3,-3.223068576564149,cobO,0.8866571166666667,-0.62091,3.7663,3h_st,3h,st,6h_st,6h,st,4.3872100000000005,3.223068576564149,Negative
N900_RS01195,PC3,-3.2227182252526916,norM_1,0.6347305333333334,-0.64557,3.7499,24h_SI3,24h,SI3,12h_SI1,12h,SI1,4.3954699999999995,3.2227182252526916,Negative
N900_RS04055,PC3,-3.1767249934602777,yecM,1.3601655999999998,-0.19484,4.1281,3h_SI2,3h,SI2,1h_ce,1h,ce,4.32294,3.1767249934602777,Negative
N900_RS09510,PC3,-3.1537193566845803,vpsQ,2.0536241166666667,0.054217,6.1916,1h_SI8,1h,SI8,3h_SI3,3h,SI3,6.137383,3.1537193566845803,Negative
N900_RS18545,PC3,-3.1414110989410085,mhqP,1.2606789466666664,-0.16519,4.8455,1h_SI6,1h,SI6,3h_SI3,3h,SI3,5.01069,3.1414110989410085,Negative
N900_RS05050,PC3,-3.1344418376471963,occP,1.3571637000000003,-0.21443,4.2764,1h_SI7,1h,SI7,3h_SI5,3h,SI5,4.49083,3.1344418376471963,Negative
N900_RS14750,PC3,-3.113967643023564,mrpC,0.6532479050000001,-1.0686,3.7601,3h_SI2,3h,SI2,1h_ce,1h,ce,4.8286999999999995,3.113967643023564,Negative
N900_RS08220,PC3,-3.104005012445983,hutC,0.8880298333333333,-1.3759,5.3486,12h_SI8,12h,SI8,6h_SI3,6h,SI3,6.7245,3.104005012445983,Negative
