Model,Program,Program_number,Program_label,Time,Strength,Signed_mean,Relative_strength
VAE,VAE3,3,VAE 3,24h,0.017606986065705557,0.01630638788143789,0.3307573625421789
VAE,VAE3,3,VAE 3,3h,0.05207234993576998,0.0007610420385996674,0.9782090507628567
VAE,VAE3,3,VAE 3,6h,0.04460794230302171,0.020908464988072684,0.8379858591084711
VAE,VAE4,4,VAE 4,12h,0.06584892421960825,0.030371683339277884,0.9101991437029662
VAE,VAE4,4,VAE 4,1h,0.07234562312563254,-0.07234562312563254,1.0
VAE,VAE4,4,VAE 4,24h,0.026639868815739893,0.026639868815739893,0.36823055306992314
VAE,VAE4,4,VAE 4,3h,0.061452201257149335,-0.016711298376321786,0.849425281062738
VAE,VAE4,4,VAE 4,6h,0.06230265833437439,0.035877609625458697,0.8611807548631113
VAE,VAE5,5,VAE 5,12h,0.05374288931488986,-0.03245922053853668,0.8033675715863587
VAE,VAE5,5,VAE 5,1h,0.06219040602445599,0.061159424483776065,0.9296440161804735
VAE,VAE5,5,VAE 5,24h,0.035266872805853645,0.03463517036288973,0.5271815922936242
VAE,VAE5,5,VAE 5,3h,0.0668970110515753,-0.01751782620946565,1.0
VAE,VAE5,5,VAE 5,6h,0.05920131256182982,-0.03189511348803834,0.8849619980209226
VAE,VAE6,6,VAE 6,12h,0.1593027462561925,0.028869852423667897,0.7207335095659858
VAE,VAE6,6,VAE 6,1h,0.21937811871369675,-0.21525454024473822,0.9925325528803297
VAE,VAE6,6,VAE 6,24h,0.06246996919314062,0.06121933956940965,0.2826329187485746
VAE,VAE6,6,VAE 6,3h,0.17545141652226448,0.0556862068672975,0.7937949480484847
VAE,VAE6,6,VAE 6,6h,0.2210286383827527,0.058453592161337546,1.0
VAE,VAE7,7,VAE 7,12h,0.015231356024742083,-0.0062149564425150496,0.2750048296039601
VAE,VAE7,7,VAE 7,1h,0.05408286831031237,0.05408286831031237,0.976475762237507
VAE,VAE7,7,VAE 7,24h,0.05538577648500595,-0.05538577648500595,1.0
VAE,VAE7,7,VAE 7,3h,0.04063801715771353,0.025106539328892997,0.7337265943850234
