Model,Program,Program_number,Program_label,Space,Strength,Signed_mean,Relative_strength
VAE,VAE5,5,VAE 5,SI9,0.05176328122615807,0.046659764647483795,0.5787617468420783
VAE,VAE5,5,VAE 5,ce,0.05772511065006254,0.009948799014091497,0.6454205584556238
VAE,VAE5,5,VAE 5,co,0.035616657137870746,0.035616657137870746,0.39822743484376694
VAE,VAE5,5,VAE 5,st,0.0787229388952255,0.0772068530321121,0.8801958560640601
VAE,VAE6,6,VAE 6,SI1,0.28478325009346006,0.21564528346061707,1.0
VAE,VAE6,6,VAE 6,SI2,0.25429872870445247,0.17781955599784846,0.8929553568231166
VAE,VAE6,6,VAE 6,SI3,0.18919831216335292,0.11783255040645595,0.664358989165486
VAE,VAE6,6,VAE 6,SI4,0.17908091247081753,0.0647097438573837,0.6288323221679886
VAE,VAE6,6,VAE 6,SI5,0.10117128789424894,-0.09260582625865935,0.35525715736809166
VAE,VAE6,6,VAE 6,SI6,0.14261548221111295,-0.1205779880285263,0.5007860615549174
VAE,VAE6,6,VAE 6,SI7,0.14763922691345213,-0.14763922691345213,0.518426652076623
VAE,VAE6,6,VAE 6,SI8,0.11721881031990049,-0.1114769637584686,0.41160710920123167
VAE,VAE6,6,VAE 6,SI9,0.10003702640533445,-0.08772149085998535,0.35127426340033807
VAE,VAE6,6,VAE 6,ce,0.14920334517955774,-0.13851928412914277,0.5239189633891468
VAE,VAE6,6,VAE 6,co,0.1294428527355194,-0.11955257058143616,0.45453113093216996
VAE,VAE6,6,VAE 6,st,0.21562489867210388,0.21562489867210388,0.7571544274508426
VAE,VAE7,7,VAE 7,SI1,0.0669665783643722,-0.01886284053325652,1.0
VAE,VAE7,7,VAE 7,SI2,0.02805473804473872,-0.0066778242588043215,0.4189364117140634
VAE,VAE7,7,VAE 7,SI3,0.05183031558990472,0.027037048339843717,0.7739728810376203
VAE,VAE7,7,VAE 7,SI4,0.02448361217975608,-0.0013722568750381594,0.36560942454814055
VAE,VAE7,7,VAE 7,SI5,0.03869146704673762,0.007816797494888299,0.5777727934106665
VAE,VAE7,7,VAE 7,SI6,0.03056035339832302,-0.00830321013927458,0.4563523199892478
VAE,VAE7,7,VAE 7,SI7,0.03414333462715144,0.001528400182723999,0.5098563411941694
VAE,VAE7,7,VAE 7,SI8,0.01845729053020472,-0.006142792105674719,0.2756194355604771
VAE,VAE7,7,VAE 7,SI9,0.02628139257431026,-0.0065303087234497,0.3924553593183519
VAE,VAE7,7,VAE 7,ce,0.03868062794208524,0.0100957840681076,0.5776109349893894
VAE,VAE7,7,VAE 7,co,0.0345531374216079,0.009012010693550102,0.5159758534115427
VAE,VAE7,7,VAE 7,st,0.06427245363593098,0.010684370249509823,0.9597691147697259
VAE,VAE8,8,VAE 8,SI1,0.01532839238643642,0.005882969498634341,0.5512555068156753
VAE,VAE8,8,VAE 8,SI2,0.01434666812419888,0.002490505576133721,0.5159497231372856
VAE,VAE8,8,VAE 8,SI3,0.027806329727172802,0.02259194850921628,1.0
VAE,VAE8,8,VAE 8,SI4,0.01493017375469204,0.00504190027713772,0.5369343563563524
VAE,VAE8,8,VAE 8,SI5,0.02330611646175382,-0.00395791232585906,0.8381586743171897
VAE,VAE8,8,VAE 8,SI6,0.02205072343349452,-0.019095429778099037,0.7930109313184972
VAE,VAE8,8,VAE 8,SI7,0.020002660155296302,-0.0121985524892807,0.7193563606400515
VAE,VAE8,8,VAE 8,SI8,0.01526598334312434,-0.010953158140182499,0.5490110882273748
VAE,VAE8,8,VAE 8,SI9,0.01925503015518184,-0.00521640777587892,0.6924693170262419
VAE,VAE8,8,VAE 8,ce,0.0226093083620071,0.0014481753110885801,0.8130993404682572
VAE,VAE8,8,VAE 8,co,0.01585731804370876,0.0041948229074478,0.5702772785655609
VAE,VAE8,8,VAE 8,st,0.008739136159419961,0.007422621548175761,0.31428585667960107
weighted_CPVAE,CPVAE1,1,weighted CPVAE 1,SI1,0.06808318160474298,-0.0020769599825143786,1.0
weighted_CPVAE,CPVAE1,1,weighted CPVAE 1,SI2,0.051811967790126756,-0.00158058702945712,0.7610097908015112
weighted_CPVAE,CPVAE1,1,weighted CPVAE 1,SI3,0.02438079752027984,-0.0007437657564878797,0.3581030872179652
weighted_CPVAE,CPVAE1,1,weighted CPVAE 1,SI4,0.04392984192818398,-0.001340133138000979,0.6452377943090079
weighted_CPVAE,CPVAE1,1,weighted CPVAE 1,SI5,0.040946672670543124,-0.0012491272762418,0.6014212571360001
weighted_CPVAE,CPVAE1,1,weighted CPVAE 1,SI6,0.02715679937973614,-0.0008284515701234202,0.39887676720801596
